Genes,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,geneID
Down-regulated,GO:0010676,positive regulation of cellular carbohydrate metabolic process,13/1538,50/16344,5.534866830390682e-4,0.01584536744951636,AKT2/PPP4R3B/KAT2B/PHKG2/PTH1R/SIRT1/IRS1/RGN/SLC45A3/GPER1/GPT/DGAT2/GCK
Down-regulated,GO:1901616,organic hydroxy compound catabolic process,17/1538,76/16344,5.7618714974026e-4,0.01640932986864449,CYP27A1/MAOB/LDHD/SULT1A1/HAO1/CYP4F3/CYP4F11/MAOA/HSD17B6/ALDH2/SULT1A2/CYP3A4/SORD/ADH4/SULT1A4/SULT1E1/AKR1D1
Down-regulated,GO:0015711,organic anion transport,51/1538,341/16344,6.006206332707996e-4,0.017016547268003793,SLC25A5/SLC35D2/ARL6IP1/PNPLA8/SLC46A1/SLC25A17/SLC7A9/MTTP/MGST1/SLC23A1/MPC2/SLC25A10/SERINC5/AQP9/ABAT/SLC25A13/SLC6A12/SLC17A2/GLTPD2/SLC25A38/SLC35A3/SLC35D1/SLC16A2/SLC10A1/CES1/SLC1A1/SLC26A1/SLC29A1/ABCC6/SLC13A5/SLC2A2/AKR1C1/APBA1/SLCO1B1/NR0B2/PER2/SLC22A25/SLC7A2/ABCG2/SLC6A1/SLC27A5/AKR1C4/SLC19A2/SLC16A4/SLC47A1/SLCO1B3/SLC52A1/SLC6A13/SLC17A8/SLC13A3/SLCO1A2
Down-regulated,GO:0001101,response to acid chemical,23/1538,119/16344,6.489380642596529e-4,0.018290687295730836,UBR2/ATF2/LAMTOR2/RPS6KB1/TOMM20/TOMM70/VEGFA/CDKN1B/FYN/TMBIM6/F7/CRLS1/SESN2/IPO5/ARG1/EGFR/HMGCS2/GCLC/ALAD/CASTOR1/ASS1/PKD2/NEURL1
Down-regulated,GO:0009310,amine catabolic process,9/1538,28/16344,7.460417642927725e-4,0.02081304268955551,AFMID/KYNU/MAOB/DMGDH/MAOA/ALDH7A1/HAAO/SULT1A4/IDO2
Down-regulated,GO:0097066,response to thyroid hormone,9/1538,28/16344,7.460417642927725e-4,0.02081304268955551,TOMM70/F7/CRLS1/CTSL/HPN/RDX/THRB/GCLC/SLC34A1
Down-regulated,GO:0009068,aspartate family amino acid catabolic process,7/1538,18/16344,8.070227662118687e-4,0.022286871139628777,PIPOX/RIDA/ASPA/GCAT/MAT1A/AASS/AADAT
Down-regulated,GO:0052695,cellular glucuronidation,7/1538,18/16344,8.070227662118687e-4,0.022286871139628777,ABHD10/UGT2B15/UGT2B4/UGT2B7/UGT1A4/UGT2A1/UGT2B17
Down-regulated,GO:1901658,glycosyl compound catabolic process,10/1538,34/16344,8.407292380352066e-4,0.02309553445423356,"NAGA/ABHD10/DERA/CDADC1/DPYD/CDA/UPB1/ADAL/GBA3/PNP"
Down-regulated,GO:0005977,glycogen metabolic process,15/1538,65/16344,8.447525403889379e-4,0.02309553445423356,PPP1CC/AKT2/ACADM/PHKG2/GYS2/IRS1/AGL/PER2/ENPP1/PHKA1/KHK/PPP1R3C/PPP1R1A/GCK/GNMT
Down-regulated,GO:0046942,carboxylic acid transport,41/1538,263/16344,8.753286373955808e-4,0.023697121382106376,SLC35D2/ARL6IP1/PNPLA8/SLC46A1/SLC7A9/SLC23A1/MPC2/SLC25A10/SERINC5/AQP9/ABAT/SLC25A13/SLC6A12/SLC17A2/SLC25A38/SLC35D1/SLC16A2/SLC10A1/CES1/SLC1A1/SLC26A1/ABCC6/SLC13A5/AKR1C1/APBA1/SLCO1B1/NR0B2/PER2/SLC7A2/ABCG2/SLC6A1/SLC27A5/AKR1C4/SLC19A2/SLC16A4/SLC47A1/SLCO1B3/SLC6A13/SLC17A8/SLC13A3/SLCO1A2
Down-regulated,GO:0006775,fat-soluble vitamin metabolic process,11/1538,40/16344,8.754240159446759e-4,0.023697121382106376,GC/CYP27A1/LGMN/VKORC1L1/CYP4F3/CYP4F11/TTPA/UGT1A4/LRAT/CYP3A4/CYP26A1
Down-regulated,GO:0008209,androgen metabolic process,9/1538,29/16344,9.92361940908581e-4,0.026535727320078972,HSD17B8/HSD17B10/HSD17B6/UGT2B7/ESR1/AKR1C4/CYP3A4/SRD5A2/AKR1D1
Down-regulated,GO:0015721,bile acid and bile salt transport,9/1538,29/16344,9.92361940908581e-4,0.026535727320078972,AQP9/SLC10A1/AKR1C1/SLCO1B1/NR0B2/SLC27A5/AKR1C4/SLCO1B3/SLCO1A2
Down-regulated,GO:0006073,cellular glucan metabolic process,15/1538,66/16344,9.997000416854917e-4,0.026535727320078972,PPP1CC/AKT2/ACADM/PHKG2/GYS2/IRS1/AGL/PER2/ENPP1/PHKA1/KHK/PPP1R3C/PPP1R1A/GCK/GNMT
Down-regulated,GO:0044042,glucan metabolic process,15/1538,66/16344,9.997000416854917e-4,0.026535727320078972,PPP1CC/AKT2/ACADM/PHKG2/GYS2/IRS1/AGL/PER2/ENPP1/PHKA1/KHK/PPP1R3C/PPP1R1A/GCK/GNMT
Down-regulated,GO:0006570,tyrosine metabolic process,6/1538,14/16344,0.001062025095577898,0.02805388030251182,HPD/PAH/IYD/PCBD1/GSTZ1/TTC36
Down-regulated,GO:0015918,sterol transport,18/1538,87/16344,0.001071316830109401,0.028138809185245237,OSBPL9/APOM/CLU/MTTP/ABCG5/APOC3/NPC1L1/CES1/GRAMD1C/SCP2/AKR1C1/NR1H3/ABCG1/LIPC/OSBPL6/LCAT/CETP/SOAT2
Down-regulated,GO:0008210,estrogen metabolic process,10/1538,35/16344,0.0010789635484800843,0.028138809185245237,UGT2B15/UGT2B4/HSD17B8/CYP2C9/SULT1A1/HSD17B10/UGT2B7/CYP3A4/SULT1E1/UGT2B17
Down-regulated,GO:0019216,regulation of lipid metabolic process,47/1538,316/16344,0.0010854996978835307,0.028138809185245237,STAT5B/ADIPOR1/AKT2/ZBTB20/CERS2/CREBL2/FGFR4/SIRT3/ID2/RARRES2/SORL1/PROX1/F2/APOC3/DNAJC19/ACADL/TM6SF2/CES1/BMP6/SIRT1/EPHX2/IDH1/IRS1/PDE3B/ACACB/RGN/DNAJC15/SOD1/PDK4/NR1H3/MTMR4/ARMC5/RORC/SREBF1/ABCG1/ETFBKMT/FGF2/SEC14L2/PIK3R4/FMC1/SLC45A3/GPER1/BRCA1/DGAT2/ASXL3/CIDEA/NR5A1
Down-regulated,GO:0006839,mitochondrial transport,30/1538,177/16344,0.0010858245680480513,0.028138809185245237,ABCB10/SLC25A5/ATF2/UBE2D3/FBXO7/TOMM20/BAG4/CSNK2A2/ATP5IF1/TOMM70/RHOU/PAM16/HPS4/MAPK8/SLC25A16/SLC25A10/CHCHD10/FZD5/LMAN1/SLC25A13/DNAJC19/BNIP3/ACAA2/LRRK2/DNAJC15/GCLC/ALKBH7/TMEM14A/SREBF1/PPIF
Down-regulated,GO:0009746,response to hexose,29/1538,170/16344,0.0011748183674180714,0.030301447325669882,RAF1/PIH1D1/RPS6KB1/CDKN1B/ZBTB20/JAGN1/SMAD4/SLC9B2/HMGN3/ACVR2B/SERPINF1/SESN2/MPC2/CPB2/GCKR/GYS2/TRPM4/SLC29A1/PKLR/NR0B2/VSNL1/GCLC/KHK/SREBF1/PCK2/PPP3CA/GPER1/ACVR1C/GCK
Down-regulated,GO:0030638,polyketide metabolic process,5/1538,10/16344,0.001232911749216312,0.03135609974285951,AKR1A1/AKR7A2/CBR4/AKR1C1/AKR1C4
Down-regulated,GO:0044598,doxorubicin metabolic process,5/1538,10/16344,0.001232911749216312,0.03135609974285951,AKR1A1/AKR7A2/CBR4/AKR1C1/AKR1C4
Down-regulated,GO:0046689,response to mercury ion,5/1538,10/16344,0.001232911749216312,0.03135609974285951,AQP9/SLC1A1/ALAD/SLC34A1/PGAM2
Down-regulated,GO:0042886,amide transport,41/1538,268/16344,0.001270872174453938,0.03217189374960246,RAF1/SLC46A1/JAGN1/ENSA/SLC9B2/HMGN3/ACVR2B/MTTP/MGST1/MPC2/RBP4/RPH3AL/AQP9/ABAT/GLTPD2/MYRIP/CA2/SLC16A2/TFR2/HADH/TRPM4/EIPR1/IRS1/NR0B2/VSNL1/PER2/ABCG2/SREBF1/SYT9/GLUD1/PCK2/SLC19A2/PPP3CA/GPER1/SLC47A1/ACVR1C/CLEC4M/SLC13A3/GCK/CPLX1/SLC16A10
Down-regulated,GO:0018958,phenol-containing compound metabolic process,21/1538,110/16344,0.0012867268556903439,0.0323268106750192,HPN/CPQ/MAOB/ABAT/GCH1/SLC16A2/DAO/SLC1A1/PAH/SULT1A1/MAOA/IYD/PMEL/DDC/ALDH2/DDT/SULT1A2/CYP2E1/SULT1A4/DRD1/SLC16A10
Down-regulated,GO:0043094,cellular metabolic compound salvage,9/1538,30/16344,0.0013006397857542472,0.0323268106750192,UCK1/AMPD2/BHMT2/NAPRT/ADK/CDA/PNP/ADI1/BHMT
Down-regulated,GO:0045736,negative regulation of cyclin-dependent protein serine/threonine kinase activity,9/1538,30/16344,0.0013006397857542472,0.0323268106750192,FBXO7/CDKN1B/KAT2B/HHEX/IPO5/TFAP4/HEXIM2/CEBPA/INCA1
Down-regulated,GO:1904030,negative regulation of cyclin-dependent protein kinase activity,9/1538,30/16344,0.0013006397857542472,0.0323268106750192,FBXO7/CDKN1B/KAT2B/HHEX/IPO5/TFAP4/HEXIM2/CEBPA/INCA1
Down-regulated,GO:0044264,cellular polysaccharide metabolic process,18/1538,89/16344,0.0014096249907526455,0.034877056332287174,PPP1CC/AKT2/B3GNT2/ACADM/HS2ST1/PHKG2/GYS2/IRS1/AGL/NDST3/PER2/ENPP1/PHKA1/KHK/PPP1R3C/PPP1R1A/GCK/GNMT
Down-regulated,GO:0044270,cellular nitrogen compound catabolic process,61/1538,442/16344,0.0014955717486469175,0.03683687532252858,AASDHPPT/PATL1/ALKBH5/SERBP1/EIF3E/TET2/PDE8A/CSDE1/FXR1/UPF2/APEX1/AFMID/FASTKD3/METTL14/KYNU/DERA/CARHSP1/CELF1/NT5C3B/NUDT16/ENTPD5/DNPH1/NUDT19/CDADC1/CECR2/PDE2A/DPYD/SAMD4A/ACADL/NIT1/QPRT/CDA/UPB1/ACAT1/DMGDH/SLCO1B1/ADAL/RGN/SMPDL3A/AMBP/ENPP1/HMOX1/DPYS/BLVRB/DNASE1L3/MTHFS/RIDA/PNP/UGT1A4/A1CF/ALDH6A1/HAAO/CYP3A4/ALDH1L1/ENPP3/BHMT/NTHL1/SLCO1B3/IDO2/IGF2BP1/CIDEA
Down-regulated,GO:0042430,indole-containing compound metabolic process,8/1538,25/16344,0.0015141815606680886,0.037128003469655196,AFMID/KYNU/DDC/ALDH2/GCDH/HAAO/IDO2/SLC34A1
Down-regulated,GO:0034310,primary alcohol catabolic process,6/1538,15/16344,0.001629910252642719,0.039435173723231805,SULT1A1/HAO1/ALDH2/SULT1A2/SULT1A4/SULT1E1
Down-regulated,GO:0034375,high-density lipoprotein particle remodeling,6/1538,15/16344,0.001629910252642719,0.039435173723231805,APOM/APOC3/ABCG1/LIPC/LCAT/CETP
Down-regulated,GO:0042182,ketone catabolic process,6/1538,15/16344,0.001629910252642719,0.039435173723231805,KYNU/HAGH/ALDH8A1/CYP4F3/CYP4F11/HSD17B6
Down-regulated,GO:0019430,removal of superoxide radicals,7/1538,20/16344,0.001661706083790848,0.04002735183334078,PRDX2/PRDX1/DHFR/GCH1/CCS/FANCC/SOD1
Down-regulated,GO:0009749,response to glucose,28/1538,166/16344,0.0016837230706230261,0.04037981469371363,RAF1/PIH1D1/RPS6KB1/CDKN1B/ZBTB20/JAGN1/SMAD4/SLC9B2/HMGN3/ACVR2B/SERPINF1/SESN2/MPC2/CPB2/GYS2/TRPM4/SLC29A1/PKLR/NR0B2/VSNL1/GCLC/KHK/SREBF1/PCK2/PPP3CA/GPER1/ACVR1C/GCK
Down-regulated,GO:0015850,organic hydroxy compound transport,36/1538,231/16344,0.0017571395050142496,0.04195650136863719,OSBPL9/APOM/CLU/MTTP/RBP4/ABCG5/MAOB/AQP9/APOC3/ABAT/NPC1L1/SLC10A1/CES1/GRAMD1C/BMP6/SCP2/AKR1C1/SLCO1B1/NR0B2/NR1H3/SLC22A1/SYT9/ABCG1/AQP11/SLC27A5/AKR1C4/ADRA2B/SYT1/LIPC/OSBPL6/LCAT/SLCO1B3/CETP/SOAT2/DRD1/SLCO1A2
Down-regulated,GO:0050796,regulation of insulin secretion,24/1538,136/16344,0.0018798096704584148,0.044690431643767875,JAGN1/ENSA/SLC9B2/HMGN3/MPC2/RBP4/RPH3AL/ABAT/MYRIP/HADH/TRPM4/EIPR1/IRS1/NR0B2/VSNL1/PER2/SREBF1/SYT9/GLUD1/PCK2/PPP3CA/GPER1/ACVR1C/GCK
Down-regulated,GO:0043200,response to amino acid,20/1538,106/16344,0.0019218164521585751,0.045491308919493885,UBR2/LAMTOR2/RPS6KB1/TOMM20/TOMM70/CDKN1B/FYN/TMBIM6/F7/CRLS1/SESN2/IPO5/ARG1/EGFR/HMGCS2/GCLC/ALAD/CASTOR1/ASS1/NEURL1
Down-regulated,GO:0000305,response to oxygen radical,8/1538,26/16344,0.002008854804701215,0.04714342520217272,PRDX2/PRDX1/DHFR/TXNRD2/GCH1/CCS/FANCC/SOD1
Down-regulated,GO:0009065,glutamine family amino acid catabolic process,8/1538,26/16344,0.002008854804701215,0.04714342520217272,DDAH2/DAO/ARG1/PRODH2/GLUD1/GLS2/PRODH/OAT
Down-regulated,GO:0006584,catecholamine metabolic process,13/1538,57/16344,0.00205404991349743,0.0477938082000168,MAOB/ABAT/GCH1/DAO/SLC1A1/PAH/SULT1A1/MAOA/DDC/ALDH2/SULT1A2/SULT1A4/DRD1
Down-regulated,GO:0009712,catechol-containing compound metabolic process,13/1538,57/16344,0.00205404991349743,0.0477938082000168,MAOB/ABAT/GCH1/DAO/SLC1A1/PAH/SULT1A1/MAOA/DDC/ALDH2/SULT1A2/SULT1A4/DRD1
Down-regulated,GO:0006563,L-serine metabolic process,5/1538,11/16344,0.0020857776927906526,0.04832640857703088,SHMT2/SERINC5/PHGDH/SHMT1/PSAT1
Down-regulated,GO:0071398,cellular response to fatty acid,9/1538,32/16344,0.002146984437399753,0.04953464516329894,IRS1/AKR1C1/HMGCS2/PDK4/SREBF1/AKR1C4/ASS1/XRCC5/DGAT2
Up-regulated,GO:0006911,"phagocytosis, engulfment",60/1856,115/16344,4.3551946956779305e-27,2.3643871395652176e-23,IGHV1-69-2/IGHV1-69/IGHV1-58/IGHV4-39/IGHV2-70D/IGHV4-34/IGHV5-51/ITGA2/IGHV1-69D/IGHV4-61/IGHA2/IGHG3/IGHV3-72/IGHV3-53/IGHA1/ADGRB1/IGHV4-28/XKR6/IGHV1-24/IGHV3-7/IGHV2-5/IGHG1/IGHV3-66/IGKC/IGHV3-23/IGHV1-3/IGHV4-4/IGLC1/IGHV3-13/IGHV3-73/IGHV6-1/IGLC2/IGLL5/IGHV3-74/IGHV3-43/IGHV1-18/IGHV3-30/IGLC3/IGHV3-21/STAP1/IGHV2-70/IGHV3-33/IGHV4-59/FCGR1A/GSN/IGHM/IGHV3-11/IGHG2/THBS1/F2RL1/IGHV3-48/TRBC2/SH3BP1/GATA2/MFGE8/CLEC7A/ITGAM/ITGB2/RAC2/MYH9
Up-regulated,GO:0006910,"phagocytosis, recognition",52/1856,89/16344,8.26564285811997e-27,2.3643871395652176e-23,IGHV1-69-2/PTX3/IGHV1-69/IGHV1-58/IGHV4-39/IGHV2-70D/IGHV4-34/IGHV5-51/IGHV1-69D/IGHV4-61/IGHA2/IGHG3/IGHV3-72/IGHV3-53/IGHA1/ADGRB1/IGHV4-28/IGHV1-24/IGHV3-7/IGHV2-5/IGHG1/IGHV3-66/IGKC/IGHV3-23/IGHV1-3/IGHV4-4/IGLC1/IGHV3-13/IGHV3-73/IGHV6-1/IGLC2/IGLL5/IGHV3-74/IGHV3-43/IGHV1-18/IGHV3-30/IGLC3/IGHV3-21/IGHV2-70/IGHV3-33/IGHV4-59/IGHM/IGHV3-11/IGHG2/FCN1/IGHV3-48/TRBC2/SPON2/MFGE8/CLEC7A/PEAR1/JMJD6
Up-regulated,GO:0050853,B cell receptor signaling pathway,59/1856,115/16344,3.7646926205576524e-26,7.179268827403443e-23,IGHV1-69-2/IGHV1-69/IGHV1-58/IGHV4-39/IGHV2-70D/IGHV4-34/IGHV5-51/IGHV1-69D/IGHV4-61/IGHA2/IGHG3/IGHV3-72/IGHV3-53/IGHA1/IGHV4-28/CD19/IGHV1-24/IGHV3-7/IGHV2-5/IGHG1/IGHV3-66/IGKC/IGHV3-23/IGHV1-3/IGHV4-4/IGLC1/IGHV3-13/IGHV3-73/IGHV6-1/IGLC2/IGLL5/IGHV3-74/IGHV3-43/IGHV1-18/IGHV3-30/IGLC3/IGHV3-21/STAP1/IGHV2-70/IGHV3-33/IGHV4-59/IGHM/IGHV3-11/IGHG2/BANK1/CD22/IGHV3-48/MS4A1/TRBC2/BCL2/KLHL6/MNDA/LCK/PTPN22/BAX/SYK/PTPRC/BCAR1/PTPN6
Up-regulated,GO:0008037,cell recognition,80/1856,204/16344,4.784353679279384e-25,6.842821849789339e-22,IGHV1-69-2/PTX3/IGHV1-69/CCL19/IGHV1-58/FUT3/IGHV4-39/IGHV2-70D/IGHV4-34/IGHV5-51/IGHV1-69D/IGHV4-61/IGHA2/IGHG3/IGHV3-72/IGHV3-53/IGHA1/ADGRB1/IGHV4-28/NTM/IGHV1-24/IGHV3-7/IGHV2-5/IGHG1/IGHV3-66/IGKC/IGHV3-23/IGHV1-3/CCL21/IGHV4-4/IGLC1/IGHV3-13/IGHV3-73/IGHV6-1/IGLC2/IGLL5/IGHV3-74/IGHV3-43/IGHV1-18/IGHV3-30/IGLC3/IGHV3-21/VCAN/IGHV2-70/IGHV3-33/IGHV4-59/IGHM/IGHV3-11/EPHA3/IGHG2/SPA17/FCN1/LGALS3/IGHV3-48/NEXN/ROBO2/CCR7/CNTNAP3/TRBC2/CD6/EPHA4/PALLD/SEMA3A/CXCR4/EPHB2/SPON2/ROBO1/MFGE8/NDN/CLEC7A/TNFRSF21/DOCK8/EMB/NCK2/PECAM1/EXT1/PEAR1/BSG/ALDOA/JMJD6
Up-regulated,GO:0099024,plasma membrane invagination,60/1856,124/16344,7.970826703983381e-25,9.1202199146977845e-22,IGHV1-69-2/IGHV1-69/IGHV1-58/IGHV4-39/IGHV2-70D/IGHV4-34/IGHV5-51/ITGA2/IGHV1-69D/IGHV4-61/IGHA2/IGHG3/IGHV3-72/IGHV3-53/IGHA1/ADGRB1/IGHV4-28/XKR6/IGHV1-24/IGHV3-7/IGHV2-5/IGHG1/IGHV3-66/IGKC/IGHV3-23/IGHV1-3/IGHV4-4/IGLC1/IGHV3-13/IGHV3-73/IGHV6-1/IGLC2/IGLL5/IGHV3-74/IGHV3-43/IGHV1-18/IGHV3-30/IGLC3/IGHV3-21/STAP1/IGHV2-70/IGHV3-33/IGHV4-59/FCGR1A/GSN/IGHM/IGHV3-11/IGHG2/THBS1/F2RL1/IGHV3-48/TRBC2/SH3BP1/GATA2/MFGE8/CLEC7A/ITGAM/ITGB2/RAC2/MYH9
Up-regulated,GO:0006909,phagocytosis,98/1856,291/16344,1.987870724682173e-24,1.8954347359844518e-21,IGHV1-69-2/PTX3/IGHV1-69/IGHV1-58/IGHV4-39/IGHV2-70D/IGHV4-34/IGHV5-51/ITGA2/IGHV1-69D/IGHV4-61/IGHA2/IGHG3/IGHV3-72/IGHV3-53/IGHA1/ADGRB1/IGHV4-28/XKR6/IGHV1-24/IGHV3-7/IGHV2-5/IGHG1/IGHV3-66/IGKC/IGHV3-23/IGHV1-3/IGHV4-4/IGLC1/IGHV3-13/IGHV3-73/IGHV6-1/IGLC2/IGLL5/IGHV3-74/SPHK1/IGHV3-43/IGHV1-18/IGHV3-30/IGLC3/IGHV3-21/STAP1/IGHV2-70/IGHV3-33/IGHV4-59/FCGR1A/GSN/IGHM/IGHV3-11/ANXA3/IGHG2/FCN1/SLAMF1/THBS1/TNF/CCR2/PIP4P2/F2RL1/IGHV3-48/CCL2/TRBC2/SH3BP1/MYO1G/FPR2/PLD4/GATA2/SPON2/MFGE8/CORO1A/CLEC7A/UNC13D/SYT11/PYCARD/ITGAM/SRPX/IL2RG/ITGAL/ITGAV/ITGB2/RAC2/ANXA1/SYK/PECAM1/SRC/TGM2/CNN2/CDC42SE1/PEAR1/LIMK1/ITGB3/IL15RA/PTPRC/SIRPA/RAB34/MYH9/ITGB1/JMJD6/CSK
Up-regulated,GO:0010324,membrane invagination,60/1856,131/16344,2.990173231244465e-23,2.443825865135655e-20,IGHV1-69-2/IGHV1-69/IGHV1-58/IGHV4-39/IGHV2-70D/IGHV4-34/IGHV5-51/ITGA2/IGHV1-69D/IGHV4-61/IGHA2/IGHG3/IGHV3-72/IGHV3-53/IGHA1/ADGRB1/IGHV4-28/XKR6/IGHV1-24/IGHV3-7/IGHV2-5/IGHG1/IGHV3-66/IGKC/IGHV3-23/IGHV1-3/IGHV4-4/IGLC1/IGHV3-13/IGHV3-73/IGHV6-1/IGLC2/IGLL5/IGHV3-74/IGHV3-43/IGHV1-18/IGHV3-30/IGLC3/IGHV3-21/STAP1/IGHV2-70/IGHV3-33/IGHV4-59/FCGR1A/GSN/IGHM/IGHV3-11/IGHG2/THBS1/F2RL1/IGHV3-48/TRBC2/SH3BP1/GATA2/MFGE8/CLEC7A/ITGAM/ITGB2/RAC2/MYH9
Up-regulated,GO:0050851,antigen receptor-mediated signaling pathway,81/1856,225/16344,1.684536918795162e-22,1.20465446405339e-19,IGHV1-69-2/IGHV1-69/IGHV1-58/IGHV4-39/IGHV2-70D/IGHV4-34/IGHV5-51/VTCN1/IGHV1-69D/IGHV4-61/IGHA2/IGHG3/IGHV3-72/IGHV3-53/IGHA1/IGHV4-28/CD19/IGHV1-24/IGHV3-7/IGHV2-5/IGHG1/IGHV3-66/IGKC/IGHV3-23/IGHV1-3/IGHV4-4/IGLC1/IGHV3-13/IGHV3-73/IGHV6-1/IGLC2/IGLL5/IGHV3-74/IGHV3-43/IGHV1-18/IGHV3-30/IGLC3/IGHV3-21/STAP1/IGHV2-70/IGHV3-33/IGHV4-59/IGHM/IGHV3-11/THY1/BTNL8/IGHG2/LGALS3/BTNL9/TRAT1/BANK1/CD22/IGHV3-48/MS4A1/CCR7/TRBC2/LAX1/ZAP70/THEMIS/BCL2/KLHL6/SLA2/MNDA/TNFRSF21/LCK/PTPN22/PDE4D/ZC3H12A/BAX/SYK/FYB1/PLCG1/BTN2A2/HLA-A/PTPRC/IKBKG/EZR/CEACAM1/BCAR1/PTPN6/CSK
Up-regulated,GO:0002429,immune response-activating cell surface receptor signaling pathway,91/1856,277/16344,6.505529302614629e-22,3.7218133140258294e-19,IGHV1-69-2/IGHV1-69/IGHV1-58/IGHV4-39/IGHV2-70D/IGHV4-34/IGHV5-51/VTCN1/IGHV1-69D/IGHV4-61/IGHA2/IGHG3/IGHV3-72/IGHV3-53/IGHA1/IGHV4-28/CD19/IGHV1-24/IGHV3-7/IGHV2-5/IGHG1/IGHV3-66/IGKC/IGHV3-23/IGHV1-3/IGHV4-4/IGLC1/IGHV3-13/IGHV3-73/IGHV6-1/IGLC2/IGLL5/IGHV3-74/IGHV3-43/IGHV1-18/IGHV3-30/IGLC3/IGHV3-21/STAP1/IGHV2-70/IGHV3-33/IGHV4-59/IGHM/IGHV3-11/THY1/BTNL8/PAK3/IGHG2/FCN1/LGALS3/BTNL9/TRAT1/BANK1/CD22/IGHV3-48/MS4A1/CCR7/TRBC2/LAX1/MYO1G/ZAP70/FPR2/THEMIS/BCL2/KLHL6/SLA2/MICB/CLEC7A/MNDA/TNFRSF21/LCK/C5AR1/FPR1/PTPN22/PDE4D/ZC3H12A/BAX/SYK/FYB1/PLCG1/SRC/BTN2A2/HLA-A/LIMK1/PTPRC/IKBKG/EZR/CEACAM1/BCAR1/PTPN6/CSK
Up-regulated,GO:0002757,immune response-activating signal transduction,91/1856,277/16344,6.505529302614629e-22,3.7218133140258294e-19,IGHV1-69-2/IGHV1-69/IGHV1-58/IGHV4-39/IGHV2-70D/IGHV4-34/IGHV5-51/VTCN1/IGHV1-69D/IGHV4-61/IGHA2/IGHG3/IGHV3-72/IGHV3-53/IGHA1/IGHV4-28/CD19/IGHV1-24/IGHV3-7/IGHV2-5/IGHG1/IGHV3-66/IGKC/IGHV3-23/IGHV1-3/IGHV4-4/IGLC1/IGHV3-13/IGHV3-73/IGHV6-1/IGLC2/IGLL5/IGHV3-74/IGHV3-43/IGHV1-18/IGHV3-30/IGLC3/IGHV3-21/STAP1/IGHV2-70/IGHV3-33/IGHV4-59/IGHM/IGHV3-11/THY1/BTNL8/PAK3/IGHG2/FCN1/LGALS3/BTNL9/TRAT1/BANK1/CD22/IGHV3-48/MS4A1/CCR7/TRBC2/LAX1/MYO1G/ZAP70/FPR2/THEMIS/BCL2/KLHL6/SLA2/MICB/CLEC7A/MNDA/TNFRSF21/LCK/C5AR1/FPR1/PTPN22/PDE4D/ZC3H12A/BAX/SYK/FYB1/PLCG1/SRC/BTN2A2/HLA-A/LIMK1/PTPRC/IKBKG/EZR/CEACAM1/BCAR1/PTPN6/CSK
Up-regulated,GO:0002768,immune response-regulating cell surface receptor signaling pathway,95/1856,305/16344,5.7270600620899025e-21,2.978591874110576e-18,IGHV1-69-2/IGHV1-69/IGHV1-58/IGHV4-39/IGHV2-70D/IGHV4-34/IGHV5-51/VTCN1/IGHV1-69D/IGHV4-61/IGHA2/IGHG3/IGHV3-72/IGHV3-53/IGHA1/IGHV4-28/CD19/IGHV1-24/IGHV3-7/IGHV2-5/CD24/IGHG1/IGHV3-66/IGKC/IGHV3-23/IGHV1-3/IGHV4-4/IGLC1/IGHV3-13/IGHV3-73/IGHV6-1/IGLC2/IGLL5/IGHV3-74/IGHV3-43/IGHV1-18/IGHV3-30/IGLC3/IGHV3-21/STAP1/IGHV2-70/HLA-G/IGHV3-33/IGHV4-59/IGHM/IGHV3-11/THY1/BTNL8/PAK3/IGHG2/FCN1/LGALS3/BTNL9/TRAT1/BANK1/CD22/IGHV3-48/MS4A1/CCR7/TRBC2/LAX1/MYO1G/ZAP70/FPR2/THEMIS/BCL2/KLHL6/MAPK10/SLA2/MICB/CLEC7A/MNDA/TNFRSF21/LCK/C5AR1/FPR1/PTPN22/PDE4D/ZC3H12A/BAX/SYK/FYB1/PLCG1/SRC/BTN2A2/HLA-A/LIMK1/PTPRC/IKBKG/EZR/CEACAM1/BCAR1/MAP3K1/PTPN6/CSK
